Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.73021182,0.43560606,0.0984456,92.92222055288461,3.2487804878048783,2.74,2.5807236845900374,2.769559269780066,6.3126044273376465,"Aaron Nola",16149,605400
"Carlos Rodón","SFG",14,8,0,31,31,178,11.98314606741573,2.6292134831460676,0.6067415730337079,0.29310344827586204,0.75059102,0.34140436,0.06521739,95.45985932365826,2.8820224719101124,2.64,2.2528804398654554,2.9067454417100116,6.195089340209961,"Carlos Rodon",16137,607074
"Justin Verlander","HOU",18,4,0,28,28,175,9.514285714285714,1.4914285714285713,0.6171428571428571,0.23963133640552994,0.804769,0.37923251,0.06217617,95.09869296577946,1.7485714285714287,2.66,2.4895738588060654,3.230781258600099,6.031988143920898,"Justin Verlander",8700,434378
"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147230683139576,1.9679301167003806,0.6297376373441218,0.26158940397350994,0.78822412,0.53420195,0.08510638,97.95842391304348,2.2827989353724414,2.9,2.9856088385869612,3.293084572137847,5.754610538482666,"Sandy Alcantara",18684,645261
"Kevin Gausman","TOR",12,10,0,31,31,174.2,10.562977714420796,1.4427481756282063,0.7729008083722534,0.3634453781512605,0.73979592,0.39219713,0.08522727,94.94010033136966,3.349236836279765,3.34,2.3796065315028496,2.754864273376801,5.67413854598999,"Kevin Gausman",14107,592332
"Shohei Ohtani","LAA",15,9,0,28,28,166,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.83111702,0.41878173,0.09271523,97.3578060522696,2.3313253012048194,2.68,2.4015876281692323,2.65180317032409,5.598513126373291,"Shohei Ohtani",19755,660271
"Max Fried","ATL",14,7,0,30,30,185.1,8.25539591001321,1.5539568771789571,0.5827338289421089,0.2796116504854369,0.78196347,0.51153846,0.07792208,93.98086240310077,2.476618773003963,2.85,2.7023590479632054,3.090723563349386,4.9662604331970215,"Max Fried",13743,608331
"Shane Bieber","CLE",13,8,0,31,31,200,8.91,1.62,0.81,0.28677839851024206,0.75757576,0.48181818,0.10404624,91.515490981332,2.88,3.51,2.872431001663208,2.9829505360871553,4.754509925842285,"Shane Bieber",19427,669456
"Corbin Burnes","MIL",12,8,0,33,33,202,10.826732673267326,2.272277227722772,1.0247524752475248,0.25910064239828695,0.76791809,0.47022587,0.14110429,96.15615844726562,2.9405940594059405,3.05,3.1371834769107334,2.8515409662434377,4.580051898956299,"Corbin Burnes",19361,669203
"Dylan Cease","CHW",14,8,0,32,32,184,11.103260869565217,3.8152173913043477,0.782608695652174,0.26004728132387706,0.82340195,0.38761468,0.08376963,96.91620156372935,2.2010869565217392,2.7,3.0961266538371213,3.502379676424291,4.446528434753418,"Dylan Cease",18525,656302
"Max Scherzer","NYM",11,5,0,23,23,145.1,10.713303127229432,1.4862385841243144,0.8050458997340036,0.2761627906976744,0.83333333,0.31054131,0.07471264,94.09630913021363,2.291284483858318,2.87,2.6170181402884367,3.226542998469296,4.4422078132629395,"Max Scherzer",3137,453286
"Framber Valdez","HOU",17,6,0,31,31,201.1,8.672185649548098,2.995033188245993,0.49172186672695406,0.2849264705882353,0.7567804,0.66545455,0.125,94.02301025390625,2.8162252367089184,3.31,3.0577952386935467,2.994579214985594,4.358530044555664,"Framber Valdez",17295,664285
"Logan Webb","SFG",15,9,0,32,32,192.1,7.627383217304388,2.2928943413982514,0.5147313827628728,0.2926391382405745,0.71761417,0.56708408,0.08270677,92.37638608870968,2.9012132482998285,3.59,3.0344413982142884,3.3146275272518464,4.19116735458374,"Logan Webb",17995,657277
"Zac Gallen","ARI",12,4,0,31,31,184,9.391304347826088,2.2989130434782608,0.7336956521739131,0.23660714285714285,0.77987421,0.4595186,0.09090909,93.94119599858357,2.5434782608695654,3.17,3.0472136103588605,3.31493617369105,4.171886920928955,"Zac Gallen",19291,668678
"Zack Wheeler","PHI",12,7,0,26,26,153,9.588235294117647,2,0.7647058823529411,0.28717948717948716,0.77131258,0.45885287,0.09848485,96.10365052552552,2.823529411764706,3.1,2.890208779440986,3.0628150625945696,4.166671276092529,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",10,4,0,20,20,107.1,13.835404382333904,2.850931812117289,0.5869565495535596,0.29017857142857145,0.7358871,0.41991342,0.08536585,98.00223941368078,2.767080876466781,,1.9198843613004206,2.2030237330212614,4.143824577331543,"Spencer Strider",27498,675911
"Yu Darvish","SDP",16,8,0,30,30,194.2,9.107877188271154,1.7106165277463588,1.0171233408221594,0.2504970178926441,0.78219013,0.36852207,0.09649123,94.99977401859505,3.0976029015947577,3.49,3.312773477885755,3.5774527251201054,4.109619617462158,"Yu Darvish",13074,506433
"Alek Manoah","TOR",16,7,0,31,31,196.2,8.237288561664572,2.333898425804962,0.7322034277035174,0.24427480916030533,0.82622601,0.37453184,0.07142857,93.8774066943128,2.2423729973420223,3.31,3.3463293188462764,3.9748178928122773,4.0877485275268555,"Alek Manoah",26410,666201
"Martín Pérez","TEX",12,8,0,32,32,196.1,7.7470290631753524,3.1629881973911202,0.5042444952362655,0.2950530035335689,0.77020202,0.5141844,0.06547619,92.91138712565105,2.8879457454440662,3.59,3.265232363856016,3.803612988321262,3.987985610961914,"Martin Perez",6902,527048
"José Quintana","- - -",6,7,0,32,32,165.2,7.44265604986511,2.553319958712848,0.43460765254686773,0.30165289256198347,0.74170124,0.46421268,0.05263158,91.28503331218275,2.933601654691357,3.86,2.9917066537335226,3.722186440007391,3.963821768760681,"Jose Quintana",11423,500779
"Clayton Kershaw","LAD",12,3,0,22,22,126.1,9.759894852042683,1.6385224934086255,0.7124010840907068,0.26791277258566976,0.79439252,0.47112462,0.09090909,90.75988455683355,2.2796834690902616,2.51,2.5662568371936665,2.8262090991271824,3.849776268005371,"Clayton Kershaw",2036,477132
"Tyler Anderson","LAD",14,5,0,28,28,170.2,6.855468545691116,1.7929686965653688,0.7382812279975048,0.258130081300813,0.7820197,0.39321357,0.06542056,90.73516781183932,2.583984297991267,,3.376102868805174,4.165941043198275,3.7548205852508545,"Tyler Anderson",12880,542881
"Patrick Sandoval","LAA",6,9,0,27,27,148.2,9.1412562308722,3.632287244055179,0.48430496587402383,0.3164251207729469,0.76763485,0.47355769,0.0625,93.2284176187276,2.905829795244143,3.91,3.092251628085124,3.667278239449282,3.7101633548736572,"Patrick Sandoval",19447,663776
"Luis Castillo","- - -",8,6,0,25,25,150.1,9.997783043357122,2.69401339491659,0.7782705363092371,0.27486910994764396,0.7526178,0.46907216,0.1,97.11201088611449,2.993348216573989,3.31,3.072519692108888,3.2284932396115766,3.699629545211792,"Luis Castillo",15689,622491
"Alex Cobb","SFG",7,8,0,28,28,149.2,9.080178790879879,2.5857462781975813,0.5412027093901914,0.33647058823529413,0.67961165,0.61502347,0.10227273,95.2947021484375,3.7282853313546522,3.15,2.798399799918282,2.8870802572708647,3.662360906600952,"Alex Cobb",6562,502171
"Nestor Cortes","NYY",12,4,0,28,28,158.1,9.265263455529896,2.160000069387338,0.9094737134262475,0.23232323232323232,0.82802548,0.33495146,0.08205128,91.71860758463542,2.44421060483304,2.7,3.1250625810163504,3.634570179100743,3.626215934753418,"Nestor Cortes",17874,641482
"Blake Snell","SDP",8,10,0,24,24,128,12.0234375,3.5859375,0.7734375,0.30666666666666664,0.74679943,0.36569579,0.08333333,95.73403846153846,3.375,3.19,2.799931001663208,3.2093744494952263,3.5879759788513184,"Blake Snell",13543,605483
"Brandon Woodruff","MIL",13,4,0,27,27,153.1,11.15217428297538,2.465217473078768,1.056521774176615,0.28493150684931506,0.78581363,0.37566138,0.1097561,96.3688107727738,3.0521740142879987,3.15,3.079822304929362,3.1370869736712823,3.554962158203125,"Brandon Woodruff",16162,605540
"Shane McClanahan","TBR",12,8,0,28,28,166.1,10.496994308960765,2.056112287322212,1.028056143661106,0.25064599483204136,0.80521472,0.50248756,0.15702479,97.03663946693273,2.5430862501090514,2.79,3.004214565488355,2.5961466043866466,3.540538787841797,"Shane McClanahan",21483,663556
