Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Kevin Gausman","TOR",7,4,0,17,17,104.2,11.952229589771576,2.2356688441299353,0.7738853691219006,0.3333333333333333,0.74487896,0.43359375,0.09782609,94.60587753049221,3.009554213251836,,2.5193715518132884,2.8548017640724037,3.533616629862609,"Kevin Gausman",14107,592332
"Zack Wheeler","PHI",7,4,0,17,17,98.1,10.250847689599292,2.013559367599861,0.6406779805999557,0.32592592592592595,0.67425569,0.4,0.06796117,96.0706000745382,4.027118735199722,,2.7872437387415476,3.593635933161329,3.445211189093035,"Zack Wheeler",10310,554430
"Zac Gallen","ARI",10,2,0,17,17,104.1,9.316294298726,1.897763653444185,0.6038338897322407,0.30141843971631205,0.71292776,0.38675958,0.06542056,93.40016043526786,3.0191694486612035,,2.718299124179523,3.541704629695105,3.347783269835812,"Zac Gallen",19291,668678
"Framber Valdez","HOU",7,6,0,16,16,105,9.428571428571429,2.057142857142857,0.6,0.2893772893772894,0.76775432,0.56521739,0.11290323,96.06809997558594,2.4857142857142858,,2.826468930925642,2.9360671094485693,3.132415461423956,"Framber Valdez",17295,664285
"Nathan Eovaldi","TEX",10,3,0,17,17,112.1,8.492581770605637,2.163204790625964,0.6409495675928782,0.26573426573426573,0.77821012,0.51712329,0.08421053,95.73976460118448,2.643916966320623,,3.094802967598851,3.5672221160544058,2.997460933265609,"Nathan Eovaldi",9132,543135
"Justin Steele","CHC",9,2,0,15,15,85.1,8.015625119442122,2.0039062798605305,0.3164062547148206,0.2773109243697479,0.7545045,0.51260504,0.03797468,,2.425781286146958,,2.774571602337528,3.8481824217972096,2.716165627971766,"Justin Steele",17312,657006
"Sonny Gray","MIN",4,2,0,16,16,87.2,9.136882294935551,3.387832761043519,0.30798479645850174,0.3155737704918033,0.79963235,0.47736626,0.04054054,92.79583328340682,2.669201569307015,,2.7987665869659564,3.749504586625266,2.6160611302612846,"Sonny Gray",12768,543243
"Marcus Stroman","CHC",9,6,0,18,18,107.2,7.6904026584307,3.0928793300210424,0.41795666621905975,0.2542372881355932,0.73451327,0.59666667,0.08196721,92.19906168135385,2.7585139970457946,,3.2643282854130495,3.5973418257027197,2.5711112608591313,"Marcus Stroman",13431,573186
"George Kirby","SEA",7,7,0,16,16,101,7.663366553713541,0.8019802207374636,0.980198047568011,0.2901023890784983,0.75327511,0.45847176,0.10091743,95.92802148116262,3.2079208829498542,,3.29464432101497,3.6631130560125986,2.405286100533108,"George Kirby",25436,669923
"Jesús Luzardo","MIA",6,5,0,17,17,97,10.391752883825191,2.226804189391112,1.0206185868042599,0.3142857142857143,0.75301205,0.41106719,0.10891089,96.88528140458524,3.525773299869261,,3.2550403594970705,3.502344770388881,2.393872321842889,"Jesus Luzardo",19959,666200
"Gerrit Cole","NYY",8,1,0,17,17,103.2,9.810289629731736,2.691318393997202,0.8681672238700652,0.2889733840304182,0.81481481,0.36397059,0.09259259,97.05428102908628,2.7781351163842087,,3.370795989346413,3.8392396287476345,2.3557160358717253,"Gerrit Cole",13125,543037
"Spencer Strider","ATL",9,2,0,16,16,91.2,14.334545553967185,3.141818203609246,1.2763636452162561,0.31666666666666665,0.74031891,0.30051813,0.13684211,97.2814674831081,3.7309091167859796,,3.0914039947257552,2.9612412660985488,2.3490858431298918,"Spencer Strider",27498,675911
